[11/2/25, 11:08:50 PM] Dec’25.Basics.LMKHealth: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[11/2/25, 11:08:50 PM] ~ PBW Foods: ‎~ PBW Foods created this group
[11/30/25, 9:50:55 AM] Dec’25.Basics.LMKHealth: ‎You joined using a group link.
[11/30/25, 9:51:40 AM] ~ Swaran: ‎~ Swaran joined using a group link.
[11/30/25, 9:53:47 AM] ~ Gurvinder: ‎~ Gurvinder joined using a group link.
[11/30/25, 9:54:21 AM] ~ Ashim Sabat: ‎~ Ashim Sabat joined using a group link.
[11/30/25, 9:58:22 AM] ~ Mandapaka Suresh: ‎~ Mandapaka Suresh joined using a group link.
[11/30/25, 9:59:39 AM] ‪+91 88827 38416‬: ‎‪+91 88827 38416‬ joined using a group link.
[11/30/25, 10:00:58 AM] ~ Peeyush Pandey: ‎~ Peeyush Pandey joined using a group link.
[11/30/25, 10:02:18 AM] ~ Venkat Thurlapati: ‎~ Venkat Thurlapati joined using a group link.
[11/30/25, 10:02:52 AM] ~ Priya: ‎~ Priya joined using a group link.
[11/30/25, 10:08:50 AM] ~ Piyush Saraf: ‎~ Piyush Saraf joined using a group link.
[11/30/25, 10:10:04 AM] ‪+1 (614) 306‑1440‬: ‎‪+1 (614) 306‑1440‬ joined using a group link.
[11/30/25, 10:10:22 AM] ~ geeta makkar: ‎~ geeta makkar joined using a group link.
[11/30/25, 10:14:19 AM] ‪+91 92134 94989‬: ‎‪+91 92134 94989‬ joined using a group link.
[11/30/25, 10:26:43 AM] ~ Uma: ‎~ Uma joined using a group link.
[11/30/25, 10:27:54 AM] ‪+91 75066 54241‬: ‎‪+91 75066 54241‬ joined using a group link.
[11/30/25, 10:29:22 AM] ~ Siddharth: ‎~ Siddharth joined using a group link.
[11/30/25, 10:34:36 AM] ~ Santosh Tiwari: ‎~ Santosh Tiwari joined using a group link.
[11/30/25, 10:36:03 AM] ~ Sharayu Bagri: ‎~ Sharayu Bagri joined using a group link.
[11/30/25, 10:49:57 AM] ~ Puran Chand And Sons: ‎~ Puran Chand And Sons joined using a group link.
[11/30/25, 10:58:07 AM] ‪+1 (847) 363‑5183‬: ‎‪+1 (847) 363‑5183‬ joined using a group link.
[11/30/25, 11:09:48 AM] ‪+1 (203) 434‑6451‬: ‎‪+1 (203) 434‑6451‬ joined using a group link.
[11/30/25, 11:22:38 AM] ~ Dr Bharti Bhojwani: ‎~ Dr Bharti Bhojwani joined using a group link.
[11/30/25, 11:30:42 AM] ~ Ashish Verma: ‎~ Ashish Verma joined using a group link.
[11/30/25, 11:33:06 AM] ‪+1 (724) 516‑0622‬: ‎‪+1 (724) 516‑0622‬ joined using a group link.
[11/30/25, 11:45:47 AM] ~ Jyotsna Davar: ‎~ Jyotsna Davar joined using a group link.
[11/30/25, 11:50:22 AM] ~ Manav Gupta: ‎~ Manav Gupta joined using a group link.
[11/30/25, 12:42:27 PM] ~ Vijay Kulkarni: ‎~ Vijay Kulkarni joined using a group link.
[11/30/25, 12:58:02 PM] ~ 🚙✈️🚁⚓Ashish Bhanot: ‎~ 🚙✈️🚁⚓Ashish Bhanot joined using a group link.
[11/30/25, 2:46:18 PM] ‪+1 (408) 624‑0088‬: ‎‪+1 (408) 624‑0088‬ joined using a group link.
[11/30/25, 2:47:14 PM] ‪+1 (702) 234‑5515‬: ‎‪+1 (702) 234‑5515‬ joined using a group link.
[11/30/25, 3:03:41 PM] ‪+91 99710 90874‬: ‎‪+91 99710 90874‬ joined using a group link.
[11/30/25, 3:55:04 PM] ~ Sudha: ‎~ Sudha joined using a group link.
[11/30/25, 4:36:58 PM] ~ Ajay: ‎~ Ajay joined using a group link.
[11/30/25, 5:03:06 PM] ~ Charu: ‎~ Charu joined using a group link.
[11/30/25, 5:08:49 PM] ~ Chitra Jain: ‎~ Chitra Jain joined using a group link.
[11/30/25, 5:09:39 PM] ~ Vineesha Jain: ‎~ Vineesha Jain joined using a group link.
[11/30/25, 5:43:57 PM] ~ S G Randar: ‎~ S G Randar joined using a group link.
[11/30/25, 5:46:26 PM] ‪+91 90825 53738‬: ‎‪+91 90825 53738‬ joined using a group link.
[11/30/25, 5:48:34 PM] ‪+91 98205 19995‬: ‎‪+91 98205 19995‬ joined using a group link.
[11/30/25, 5:50:43 PM] ‪+91 93508 80338‬: ‎‪+91 93508 80338‬ joined using a group link.
[11/30/25, 5:59:00 PM] ‪+91 77952 84200‬: ‎‪+91 77952 84200‬ joined using a group link.
[11/30/25, 6:26:20 PM] ‪+1 (647) 338‑9093‬: ‎‪+1 (647) 338‑9093‬ joined using a group link.
[11/30/25, 6:32:48 PM] ~ Samy: ‎~ Samy joined using a group link.
[11/30/25, 6:33:06 PM] ~ Sapna Singh: ‎~ Sapna Singh joined using a group link.
[11/30/25, 6:33:52 PM] ‪+1 (587) 581‑8658‬: ‎‪+1 (587) 581‑8658‬ joined using a group link.
[11/30/25, 6:35:06 PM] ~ Murli Shah: ‎~ Murli Shah joined using a group link.
[11/30/25, 6:42:34 PM] ‪+91 78386 56722‬: ‎‪+91 78386 56722‬ joined using a group link.
[11/30/25, 7:12:11 PM] ~ nandhu: ‎~ nandhu joined using a group link.
[11/30/25, 7:14:52 PM] ‪+1 (562) 331‑6696‬: ‎‪+1 (562) 331‑6696‬ joined using a group link.
[11/30/25, 7:16:11 PM] ~ Ajanta Dasgupta: ‎~ Ajanta Dasgupta joined using a group link.
[11/30/25, 7:23:01 PM] ~ Venus: ‎~ Venus joined using a group link.
[11/30/25, 7:29:38 PM] ~ Triveni: ‎~ Triveni joined using a group link.
[11/30/25, 7:29:50 PM] ~ Vipul Gore: ‎~ Triveni added ~ Vipul Gore
[11/30/25, 7:44:14 PM] ~ Girish: ‎~ Girish joined using a group link.
[11/30/25, 7:54:30 PM] ‪+1 (925) 352‑3140‬: ‎‪+1 (925) 352‑3140‬ joined using a group link.
[11/30/25, 7:54:58 PM] ‪+91 98103 80749‬: ‎‪+91 98103 80749‬ joined using a group link.
[11/30/25, 7:57:54 PM] ~ Sunil: ‎~ Sunil joined using a group link.
[11/30/25, 8:06:03 PM] ~ Jai Kumar Sahu: ‎~ Jai Kumar Sahu joined using a group link.
[11/30/25, 8:12:16 PM] ~ Neelam: ‎~ Neelam joined using a group link.
[11/30/25, 8:24:41 PM] ‪+91 96500 10928‬: ‎‪+91 96500 10928‬ joined using a group link.
[11/30/25, 8:39:08 PM] ‪+91 70322 12333‬: ‎‪+91 70322 12333‬ joined using a group link.
[11/30/25, 8:49:52 PM] ~ Pushpinder K Batra: ‎~ PBW Foods added ~ Pushpinder K Batra
[11/30/25, 8:51:27 PM] ‪+91 98113 32777‬: ‎~ PBW Foods added ‪+91 98113 32777‬
[11/30/25, 8:57:05 PM] ‪+1 (217) 979‑7919‬: ‎~ PBW Foods added ‪+1 (217) 979‑7919‬
[11/30/25, 8:57:47 PM] ‪+1 (206) 601‑5932‬: ‎~ PBW Foods added ‪+1 (206) 601‑5932‬
[11/30/25, 8:58:19 PM] ‪+91 98735 49255‬: ‎~ PBW Foods added ‪+91 98735 49255‬
[11/30/25, 9:03:24 PM] ~ SD: ‎~ SD joined using a group link.
[11/30/25, 9:03:34 PM] ‪+91 94736 05187‬: ‎‪+91 94736 05187‬ joined using a group link.
[11/30/25, 9:11:47 PM] ‪+91 96769 36464‬: ‎‪+91 96769 36464‬ joined using a group link.
[11/30/25, 9:12:23 PM] ‪+91 98292 88883‬: ‎~ PBW Foods added ‪+91 98292 88883‬
[11/30/25, 9:20:18 PM] ~ Kartik: ‎~ Kartik joined using a group link.
[11/30/25, 9:21:22 PM] ‪+1 (682) 600‑2411‬: ‎‪+1 (682) 600‑2411‬ joined using a group link.
[11/30/25, 9:25:55 PM] ‪+27 66 112 0240‬: ‎‪+27 66 112 0240‬ joined using a group link.
[11/30/25, 9:32:20 PM] ~ Minal Agrawal: ‎~ PBW Foods added ~ Minal Agrawal
[11/30/25, 9:33:35 PM] ‪+91 97020 03441‬: ‎‪+91 97020 03441‬ joined using a group link.
[11/30/25, 9:40:48 PM] ~ 👋: ‎~ 👋 joined using a group link.
[11/30/25, 9:51:59 PM] ‪+91 98864 94116‬: ‎~ PBW Foods added ‪+91 98864 94116‬
[11/30/25, 9:54:23 PM] ‪+91 91 2165 655 5‬: ‎‪+91 91 2165 655 5‬ joined using a group link.
[11/30/25, 9:54:23 PM] ‪+91 89875 60054‬: ‎~ PBW Foods added ‪+91 89875 60054‬
[11/30/25, 9:57:06 PM] ‪+91 97013 85026‬: ‎~ PBW Foods added ‪+91 97013 85026‬
[11/30/25, 10:04:36 PM] ‪+1 (617) 943‑2580‬: ‎‪+1 (617) 943‑2580‬ joined using a group link.
[11/30/25, 10:06:43 PM] ‪+91 94884 83286‬: ‎‪+91 94884 83286‬ joined using a group link.
[11/30/25, 10:16:23 PM] ~ Shrichand Diwan: ‎~ PBW Foods added ~ Shrichand Diwan
[11/30/25, 10:17:32 PM] ~ Saumitra Mohan Joshi: ‎~ PBW Foods added ~ Saumitra Mohan Joshi
[11/30/25, 10:18:11 PM] ‪+91 98841 50709‬: ‎~ PBW Foods added ‪+91 98841 50709‬
[11/30/25, 10:24:39 PM] ‪+44 7719 993292‬: ‎‪+44 7719 993292‬ joined using a group link.
[11/30/25, 10:27:45 PM] ~ D.P. Gupta: ‎~ PBW Foods added ~ D.P. Gupta
[11/30/25, 10:42:35 PM] ‪+91 94142 44425‬: ‎‪+91 94142 44425‬ joined using a group link.
[11/30/25, 10:45:02 PM] ~ Ragini Chaudhuri: ‎~ Ragini Chaudhuri joined using a group link.
[11/30/25, 10:47:10 PM] ‪+91 98292 96657‬: ‎‪+91 98292 96657‬ joined using a group link.
[11/30/25, 10:57:09 PM] ~ Anju Chandran: ‎~ PBW Foods added ~ Anju Chandran
[11/30/25, 10:57:39 PM] ~ Amrita: ‎~ Amrita joined using a group link.
[11/30/25, 10:59:29 PM] ~ Shilpa Bharatan Iyer: ‎~ PBW Foods added ~ Shilpa Bharatan Iyer
[11/30/25, 11:01:28 PM] ~ Suneeta Singh Sethi: ‎~ PBW Foods added Suneeta Singh Sethi
